"Lunghezza" "Massa_totale" "Massa_commestibile" "Specie"
"1" 270.162510176695 345 47 1
"2" 330.112092873505 290 52 1
"3" 223.070098412462 167 27 1
"4" 315.649108869191 67 13 1
"5" 9.24449255687693 238 31 1
"6" 284.612390430708 68 14 1
"7" 303.381896376194 75 15 1
"8" 7.67844869368142 54 4 1
"9" 313.185482958812 128 23 1
"10" 236.575436192273 150 32 1
"11" 274.986789977686 117 30 1
"12" 180.156042077859 190 26 1
"13" 323.614736746452 160 24 1
"14" 101.868882344784 212 31 1
"15" 56.2069330193747 208 31 1
"16" 408.830071735471 235 42 1
"17" 198.946916222174 52 9 1
"18" 198.371861102676 74 13 1
"19" 158.222758687383 42 7 1
"20" 233.240880813656 69 13 1
"21" 134.56592816261 268 50 1
"22" 270.873324302512 323 39 1
"23" 412.822034934018 359 47 1
"24" 271.156340308387 167 40 1
"25" 148.183685634127 33 5 1
"26" 119.471533788393 51 12 1
"27" 237.937528554968 170 26 1
"28" 267.916308663354 224 32 1
"29" 324.66675719252 238 40 1
"30" 230.613899099367 68 16 1
"31" 157.946094017319 208 33 1
"32" 340.64381361578 167 28 1
"33" 119.753364276992 187 28 1
"34" 319.383273122456 191 42 1
"35" 228.632794554108 58 15 1
"36" 139.666027578731 180 27 1
"37" 247.982209606143 188 33 1
"38" 143.770912494788 65 14 1
"39" 209.532053624059 299 29 1
"40" 124.623922829666 159 26 1
"41" 199.704043633183 145 25 1
"42" 255.361078693109 54 9 1
"43" 351.271086523395 129 18 1
"44" 190.180887127083 104 23 1
"45" -11.3710934769494 66 13 1
"46" 195.28166731717 24 6 1
"47" -141.793104289356 19 6 1
"48" 108.462930975617 10 1 1
"49" 262.342081950595 36 8 1
"50" 138.608291852161 18 5 1
"51" 428.061289093156 20 6 1
"52" 38.2960337972957 133 22 1
"53" 112.224463487889 179 24 1
"54" 239.300559774803 69 13 1
"55" 355.834282419883 59 11 1
"56" 92.7677974331333 120 18 1
"57" 353.287912452313 72 17 1
"58" 170.361055245132 74 15 1
"59" 377.260413537995 27 7 1
"60" 51.7112972731376 52 14 1
"61" 118.57837536021 76 14 1
"62" 269.988219154969 25 8 1
"63" 218.739657503552 125 18 1
"64" 501.714117008743 138 24 1
"65" 272.420947052061 191 29 1
"66" 293.197362154023 148 21 1
"67" 437.699203481094 90 17 1
"68" 249.446845026262 120 17 1
"69" 207.09925872548 203 34 1
"70" 182.690315493311 64 16 1
"71" 304.161523879885 124 22 1
"72" 376.852955749183 153 24 1
"73" 142.038514910878 151 19 1
"74" 229.166320329686 68 13 1
"75" 275.270656407106 51 10 1
"76" 124.929913585233 19 5 1
"77" 257.055616967297 88 15 1
"78" 356.312143631395 53 12 1
"79" 355.399002045888 61 12 1
"80" 209.759106862004 133 24 1
"81" 304.167498550927 68 15 1
"82" 248.006577137111 64 16 1
"83" 344.347287730153 345 62.7493242616392 2
"84" 286.283313250091 290 65.942001705778 2
"85" 489.216696464413 167 37.7604022409384 2
"86" 106.978966370362 67 26.4769221900019 2
"87" 277.158005991039 238 46.0715540041621 2
"88" 119.080338228899 68 29.2306588713155 2
"89" 187.445695500522 75 29.8554476340018 2
"90" 155.805048379197 54 21.286681643861 2
"91" 210.711895732723 128 36.7192941787163 2
"92" 48.8553922987823 150 42.0328440858301 2
"93" 453.555430579883 117 42.6152787288258 2
"94" 197.967717434797 190 41.9258163394977 2
"95" 224.25431183042 160 38.525380279357 2
"96" 109.226226716358 212 49.7521455386216 2
"97" 252.786643923947 208 46.1068505546427 2
"98" 231.497514930575 235 53.2792676171078 2
"99" 182.679859777314 52 19.3074634608479 2
"100" 220.380112609296 74 24.8579629017142 2
"101" 249.706354045776 42 20.5806579635157 2
"102" 272.491666788484 69 26.115653976281 2
"103" 310.189229229213 268 67.6659420466167 2
"104" 484.057780434242 323 54.6294937135708 2
"105" 318.03829824314 359 63.5074115792484 2
"106" 360.576630003491 167 57.4787415594743 2
"107" 280.767687114467 33 19.6308259966227 2
"108" 271.477172170479 51 29.9546798418919 2
"109" 293.056716444375 170 43.8152969016039 2
"110" 296.620847568987 224 50.9140507616097 2
"111" 356.251950295039 238 51.2155921433726 2
"112" 312.829109162264 68 30.47650929903 2
"113" 361.229996789483 208 45.2251663669387 2
"114" 252.820330916394 167 45.4295121685235 2
"115" 314.993368275251 187 42.7267142790036 2
"116" 236.410548424503 191 58.4442085829451 2
"117" -44.2243371947085 58 33.1924846715768 2
"118" 314.761550710811 180 40.9983408809518 2
"119" 105.758648745826 188 48.5197685436806 2
"120" 112.117374928596 65 27.5793021307394 2
"121" 387.454724169278 299 44.8794669338394 2
