"Child" "Midparent"
167.365493682201 172.229426642013
174.922230701489 166.239870339693
175.407330934362 178.962305727432
178.424471753284 170.876098734812
167.930847075642 176.827277360127
163.032394359168 176.586329113215
171.463464241729 171.928069358748
175.924778915505 170.923872933528
165.369173867871 173.975625352897
168.84543453451 171.266692944379
180.933819359297 176.593967212929
178.592917791242 176.177221532745
167.627937770147 170.940316524065
167.792127260455 171.70120306587
172.203330845957 166.208321935105
167.26803130518 171.581904222765
171.270844332167 168.869609255669
176.937386920608 173.589926082515
169.934595433021 171.511364041098
172.53077238565 171.079923129508
162.984258365948 176.813105603561
176.442975862926 177.65366523611
171.072830174549 168.971644645475
182.404700221672 181.577353751985
178.564816899418 176.827259700747
183.087764463561 181.597708980768
172.998919124024 178.756259394812
170.505005314021 172.826241818701
173.093829751062 176.774270413834
162.645783775387 173.721975920409
173.083483993999 171.529274766288
175.86005035291 177.00070366915
187.302542823331 176.270356266719
172.406289313093 173.394480892432
180.779719016624 175.355167975307
169.796897919937 171.833070511586
178.968391465745 168.689219013923
172.726127927173 174.761767176448
166.127612576099 171.934646519397
163.04352311862 174.049024575981
186.544763170787 176.987623494362
178.905819717747 176.871945630337
173.474738745777 179.927977379744
165.524698530806 172.491736063971
173.058987428039 171.25077044721
183.072524212447 174.078126874245
176.578482244992 171.125234786219
185.690316342329 172.771452877389
175.591374599608 176.828345388275
172.639276260352 174.807518059532
